                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     80,               0.023486,                  0.025,               0.063559,              0.0014574,                0.76629,                0.72322,                0.72972,                0.50831,                0.77084,                0.72542,                0.74917,                0.46978,                0.02723,               0.033316,               0.068464,              0.0039597,              0.0060895,              0.0060895,              0.0060895
                     81,               0.022653,               0.024323,               0.065281,              0.0014617,                0.72338,                0.71646,                0.71096,                0.51388,                0.73007,                0.72078,                0.71833,                0.45249,               0.026588,               0.033857,               0.068272,              0.0039144,                0.00604,                0.00604,                0.00604
                     82,               0.023318,               0.025345,               0.062763,               0.001515,                0.75346,                 0.6932,                0.71146,                  0.501,                0.76766,                0.70506,                0.72674,                0.45314,               0.026788,               0.033522,               0.066791,              0.0038051,              0.0059905,              0.0059905,              0.0059905
                     83,                0.02297,               0.025038,               0.064159,              0.0013113,                0.74065,                0.74913,                0.72596,                0.50542,                0.73952,                0.74751,                0.72896,                0.45549,                0.02699,                0.03344,               0.067347,              0.0038447,               0.005941,               0.005941,               0.005941
                     84,               0.023048,               0.025219,                0.06238,               0.001498,                0.76929,                0.71121,                0.73303,                0.51987,                0.77163,                0.71417,                0.73805,                0.46328,               0.027243,               0.032616,               0.067076,              0.0037272,              0.0058915,              0.0058915,              0.0058915
                     85,               0.022197,               0.025333,               0.063702,              0.0014566,                0.77305,                 0.7176,                0.73433,                 0.5206,                0.77149,                0.71849,                0.72893,                0.46087,               0.027369,               0.034133,               0.068727,              0.0037479,               0.005842,               0.005842,               0.005842
                     86,               0.022261,               0.025091,                0.06462,              0.0014033,                0.73393,                0.72986,                0.72551,                0.52019,                0.73315,                0.72909,                0.71616,                0.44541,               0.027601,               0.033243,               0.068616,              0.0037023,              0.0057925,              0.0057925,              0.0057925
                     87,               0.022425,                0.02444,               0.061649,               0.001382,                0.74736,                0.71143,                0.71323,                0.50856,                0.74962,                0.71273,                0.71632,                 0.4332,               0.027011,               0.033035,               0.067977,              0.0037109,               0.005743,               0.005743,               0.005743
                     88,               0.021956,               0.024996,               0.061274,              0.0014478,                0.71925,                0.74591,                0.72882,                0.51667,                0.70939,                0.75275,                 0.7305,                0.45235,               0.026866,               0.033573,               0.068266,              0.0038626,              0.0056935,              0.0056935,              0.0056935
                     89,               0.021916,               0.024865,               0.061935,              0.0013262,                0.73631,                  0.726,                0.71994,                0.51286,                0.74506,                0.73084,                0.72674,                0.45194,               0.027368,               0.034279,                0.06818,              0.0041403,               0.005644,               0.005644,               0.005644
                     90,               0.022061,               0.024646,               0.061756,              0.0013202,                0.74108,                0.73786,                0.72616,                0.51433,                0.73872,                0.73524,                0.72452,                0.44556,                  0.027,               0.034038,                0.06706,              0.0041201,              0.0055945,              0.0055945,              0.0055945
                     91,               0.021413,               0.024914,               0.061757,              0.0015346,                0.73294,                0.72822,                0.73606,                0.51359,                0.73392,                0.72202,                0.72153,                0.43763,               0.027199,               0.033865,                0.06809,              0.0036288,               0.005545,               0.005545,               0.005545
                     92,                0.02191,               0.024784,               0.061865,              0.0014376,                 0.7763,                0.71345,                0.72455,                0.52599,                0.76357,                0.70381,                0.71081,                0.45327,               0.026841,               0.034021,                0.06774,              0.0035608,              0.0054955,              0.0054955,              0.0054955
