                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     86,               0.020871,                0.02326,               0.058707,              0.0012377,                0.72557,                0.71135,                0.72017,                0.51977,                0.77326,                0.67671,                0.70999,                0.46045,               0.027248,               0.033769,               0.069374,              0.0037974,              0.0057925,              0.0057925,              0.0057925
                     87,               0.020235,               0.022709,               0.055814,              0.0012314,                0.70322,                 0.7163,                0.68375,                0.48886,                0.70107,                0.71668,                0.67891,                0.42875,               0.027518,               0.034132,               0.070319,              0.0040667,               0.005743,               0.005743,               0.005743
                     88,               0.020348,               0.023196,                  0.056,              0.0012854,                0.69582,                0.72661,                0.69239,                 0.4977,                0.71662,                0.70847,                0.69167,                0.43988,               0.027386,               0.033714,               0.070014,              0.0040096,              0.0056935,              0.0056935,              0.0056935
                     89,               0.020296,               0.022926,               0.055609,              0.0012361,                0.75771,                0.69812,                0.73131,                0.50774,                0.75547,                0.68192,                0.72209,                0.45685,               0.027945,               0.032846,               0.069878,              0.0039686,               0.005644,               0.005644,               0.005644
                     90,               0.020545,                0.02285,               0.056091,              0.0011159,                0.73004,                0.72066,                0.71506,                0.51202,                0.77287,                0.70291,                0.71602,                0.45577,               0.027008,               0.033616,               0.068948,              0.0040492,              0.0055945,              0.0055945,              0.0055945
                     91,                0.02019,               0.023124,               0.056133,              0.0014041,                0.72224,                 0.7313,                0.71512,                0.51958,                0.70262,                0.70917,                0.70473,                0.45581,               0.027776,                 0.0348,               0.069012,              0.0043273,               0.005545,               0.005545,               0.005545
                     92,               0.020396,               0.022962,               0.056628,              0.0012554,                0.76443,                0.70062,                0.72362,                0.52305,                0.75863,                0.69447,                0.72437,                0.46834,               0.027559,               0.033767,               0.068632,              0.0040102,              0.0054955,              0.0054955,              0.0054955
                     93,               0.020173,               0.023245,               0.056421,              0.0011559,                0.76085,                0.70341,                0.72408,                0.52332,                 0.7822,                0.68548,                0.72496,                0.46657,               0.027124,               0.033607,               0.070228,              0.0038983,               0.005446,               0.005446,               0.005446
                     94,               0.019621,               0.022738,               0.055096,              0.0011258,                0.70758,                0.74592,                0.70725,                0.50939,                0.72302,                0.73531,                0.71836,                0.46459,               0.027092,               0.033683,               0.070943,              0.0038486,              0.0053965,              0.0053965,              0.0053965
                     95,                0.01971,               0.022861,               0.054353,              0.0011923,                 0.7302,                0.70936,                0.69431,                0.49784,                0.72191,                0.69646,                0.68477,                0.44689,               0.027024,               0.034374,               0.071227,              0.0040332,               0.005347,               0.005347,               0.005347
                     96,                0.01888,               0.022602,               0.055574,               0.001158,                0.70661,                 0.7557,                0.71181,                0.51056,                0.76537,                0.69163,                0.71237,                0.45725,               0.026903,               0.034566,               0.070095,              0.0040221,              0.0052975,              0.0052975,              0.0052975
                     97,               0.019821,               0.022733,               0.056114,              0.0010805,                0.73723,                0.70865,                0.71577,                0.51689,                0.74336,                0.70152,                 0.7215,                0.45905,               0.026929,               0.034897,               0.068751,              0.0038979,               0.005248,               0.005248,               0.005248
                     98,               0.019779,                0.02274,               0.052404,              0.0011411,                0.71896,                0.70112,                0.68976,                0.50398,                0.71274,                0.68856,                0.69314,                0.45247,               0.026816,               0.034452,               0.070254,              0.0039605,              0.0051985,              0.0051985,              0.0051985
